时间_Start,时间_End,TIME,PM25,O3,NO2,PM10,SO2,CO,AQI,Major_pollutant,quality
2015/7/1 0:00,2015/7/1 1:00,0,16,25,11,17,4,6,25,,优
2015/7/1 1:00,2015/7/1 2:00,1,22,27,13,21,4,7,27,,优
2015/7/1 2:00,2015/7/1 3:00,2,23,25,11,22,4,6,25,,优
2015/7/1 3:00,2015/7/1 4:00,3,30,23,11,24,4,6,30,,优
2015/7/1 4:00,2015/7/1 5:00,4,35,24,12,28,4,6,35,,优
2015/7/1 5:00,2015/7/1 6:00,5,33,29,14,25,3,8,33,,优
2015/7/1 6:00,2015/7/1 7:00,6,23,29,17,18,3,7,29,,优
2015/7/1 7:00,2015/7/1 8:00,7,18,27,23,16,3,6,27,,优
2015/7/1 8:00,2015/7/1 9:00,8,20,22,29,25,3,8,29,,优
2015/7/1 9:00,2015/7/1 10:00,9,28,20,33,31,3,9,33,,优
2015/7/1 10:00,2015/7/1 11:00,10,40,20,35,40,4,11,40,,优
2015/7/1 11:00,2015/7/1 12:00,11,48,23,31,54,5,12,54,PM10,良
2015/7/1 12:00,2015/7/1 13:00,12,57,31,28,57,5,12,57,PM2.5,良
2015/7/1 13:00,2015/7/1 14:00,13,74,39,24,60,5,12,74,PM2.5,良
2015/7/1 14:00,2015/7/1 15:00,14,89,45,24,64,5,12,89,PM2.5,良
2015/7/1 15:00,2015/7/1 16:00,15,95,46,25,67,5,13,95,PM2.5,良
2015/7/1 16:00,2015/7/1 17:00,16,99,49,26,71,4,12,99,PM2.5,良
2015/7/1 17:00,2015/7/1 18:00,17,103,50,25,73,4,11,103,PM2.5,轻度污染
2015/7/1 18:00,2015/7/1 19:00,18,102,40,25,72,4,10,102,PM2.5,轻度污染
2015/7/1 19:00,2015/7/1 20:00,19,78,32,23,58,4,9,78,PM2.5,良
2015/7/1 20:00,2015/7/1 21:00,20,63,27,22,53,3,9,63,PM2.5,良
2015/7/1 21:00,2015/7/1 22:00,21,63,23,24,53,4,9,63,PM2.5,良
2015/7/1 22:00,2015/7/1 23:00,22,59,22,24,49,4,9,59,PM2.5,良
2015/7/1 23:00,2015/7/2 0:00,23,54,25,18,46,4,8,54,PM2.5,良
2015/7/2 0:00,2015/7/2 1:00,0,46,26,15,38,4,8,46,,优
2015/7/2 1:00,2015/7/2 2:00,1,48,25,15,43,4,7,48,,优
2015/7/2 2:00,2015/7/2 3:00,2,48,24,12,38,4,7,48,,优
2015/7/2 3:00,2015/7/2 4:00,3,50,21,14,41,4,8,50,,优
2015/7/2 4:00,2015/7/2 5:00,4,54,17,16,44,4,8,54,PM2.5,良
2015/7/2 5:00,2015/7/2 6:00,5,60,13,20,51,4,9,60,PM2.5,良
2015/7/2 6:00,2015/7/2 7:00,6,67,11,26,54,4,10,67,PM2.5,良
2015/7/2 7:00,2015/7/2 8:00,7,67,13,28,53,5,9,67,PM2.5,良
2015/7/2 8:00,2015/7/2 9:00,8,63,19,28,51,5,9,63,PM2.5,良
2015/7/2 9:00,2015/7/2 10:00,9,64,23,31,56,5,10,64,PM2.5,良
2015/7/2 10:00,2015/7/2 11:00,10,79,31,30,70,5,10,79,PM2.5,良
2015/7/2 11:00,2015/7/2 12:00,11,102,41,27,80,6,12,102,PM2.5,轻度污染
2015/7/2 12:00,2015/7/2 13:00,12,118,48,25,81,5,12,118,PM2.5,轻度污染
2015/7/2 13:00,2015/7/2 14:00,13,122,67,22,81,5,12,122,PM2.5,轻度污染
2015/7/2 14:00,2015/7/2 15:00,14,124,69,23,81,5,11,124,PM2.5,轻度污染
2015/7/2 15:00,2015/7/2 16:00,15,124,75,21,78,5,11,124,PM2.5,轻度污染
2015/7/2 16:00,2015/7/2 17:00,16,128,78,20,82,5,10,128,PM2.5,轻度污染
2015/7/2 17:00,2015/7/2 18:00,17,125,50,21,80,5,10,125,PM2.5,轻度污染
2015/7/2 18:00,2015/7/2 19:00,18,122,42,22,77,5,10,122,PM2.5,轻度污染
2015/7/2 19:00,2015/7/2 20:00,19,104,34,21,71,4,9,104,PM2.5,轻度污染
2015/7/2 20:00,2015/7/2 21:00,20,85,30,21,63,4,8,85,PM2.5,良
2015/7/2 21:00,2015/7/2 22:00,21,80,30,20,59,4,8,80,PM2.5,良
2015/7/2 22:00,2015/7/2 23:00,22,85,30,19,60,4,8,85,PM2.5,良
2015/7/2 23:00,2015/7/3 0:00,23,89,27,19,61,4,8,89,PM2.5,良
2015/7/3 0:00,2015/7/3 1:00,0,89,27,14,62,4,7,89,PM2.5,良
2015/7/3 1:00,2015/7/3 2:00,1,87,29,17,60,3,7,87,PM2.5,良
2015/7/3 2:00,2015/7/3 3:00,2,82,27,14,58,4,7,82,PM2.5,良
2015/7/3 3:00,2015/7/3 4:00,3,82,26,13,58,4,7,82,PM2.5,良
2015/7/3 4:00,2015/7/3 5:00,4,83,23,14,59,5,7,83,PM2.5,良
2015/7/3 5:00,2015/7/3 6:00,5,80,20,17,58,5,7,80,PM2.5,良
2015/7/3 6:00,2015/7/3 7:00,6,75,18,21,56,5,7,75,PM2.5,良
2015/7/3 7:00,2015/7/3 8:00,7,67,21,23,51,6,7,67,PM2.5,良
2015/7/3 8:00,2015/7/3 9:00,8,64,27,24,52,5,8,64,PM2.5,良
2015/7/3 9:00,2015/7/3 10:00,9,80,39,19,62,5,9,80,PM2.5,良
